nombre,poblacion,superficie,continente
Afghanistan ,31056997,647500,ASIA (EX. NEAR EAST)         
Albania ,3581655,28748,EASTERN EUROPE                     
Algeria ,32930091,2381740,NORTHERN AFRICA                    
American Samoa ,57794,199,OCEANIA                            
Andorra ,71201,468,WESTERN EUROPE                     
Angola ,12127071,1246700,SUB-SAHARAN AFRICA                 
Anguilla ,13477,102,LATIN AMER. & CARIB    
Antigua & Barbuda ,69108,443,LATIN AMER. & CARIB    
Argentina ,39921833,2766890,LATIN AMER. & CARIB    
Armenia ,2976372,29800,C.W. OF IND. STATES 
Aruba ,71891,193,LATIN AMER. & CARIB    
Australia ,20264082,7686850,OCEANIA                            
Austria ,8192880,83870,WESTERN EUROPE                     
Azerbaijan ,7961619,86600,C.W. OF IND. STATES 
Bahrain ,698585,665,NEAR EAST                          
Bangladesh ,147365352,144000,ASIA (EX. NEAR EAST)         
Barbados ,279912,431,LATIN AMER. & CARIB    
Belarus ,10293011,207600,C.W. OF IND. STATES 
Belgium ,10379067,30528,WESTERN EUROPE                     
Belize ,287730,22966,LATIN AMER. & CARIB    
Benin ,7862944,112620,SUB-SAHARAN AFRICA                 
Bermuda ,65773,53,NORTHERN AMERICA                   
Bhutan ,2279723,47000,ASIA (EX. NEAR EAST)         
Bolivia ,8989046,1098580,LATIN AMER. & CARIB    
Bosnia & Herzegovina ,4498976,51129,EASTERN EUROPE                     
Botswana ,1639833,600370,SUB-SAHARAN AFRICA                 
Brazil ,188078227,8511965,LATIN AMER. & CARIB    
British Virgin Is. ,23098,153,LATIN AMER. & CARIB    
Brunei ,379444,5770,ASIA (EX. NEAR EAST)         
Bulgaria ,7385367,110910,EASTERN EUROPE                     
Burkina Faso ,13902972,274200,SUB-SAHARAN AFRICA                 
Burma ,47382633,678500,ASIA (EX. NEAR EAST)         
Burundi ,8090068,27830,SUB-SAHARAN AFRICA                 
Cambodia ,13881427,181040,ASIA (EX. NEAR EAST)         
Cameroon ,17340702,475440,SUB-SAHARAN AFRICA                 
Canada ,33098932,9984670,NORTHERN AMERICA                   
Cape Verde ,420979,4033,SUB-SAHARAN AFRICA                 
Cayman Islands ,45436,262,LATIN AMER. & CARIB    
Central African Rep. ,4303356,622984,SUB-SAHARAN AFRICA                 
